#2024-07-15 19:58:45.082363, Temp:  27.3°C, Humi: 56.8 %
Sourced_voltage,Channel_Current
-1.5,+7.789330E-04
-1.5,+7.789370E-04
-1.5,+7.789400E-04
-1.5,+7.789160E-04
-1.5,+7.789250E-04
-1.5,+7.789110E-04
-1.5,+7.789200E-04
-1.5,+7.789130E-04
-1.5,+7.789090E-04
-1.5,+7.789150E-04
-1.4,+6.952700E-04
-1.4,+6.952520E-04
-1.4,+6.952690E-04
-1.4,+6.952440E-04
-1.4,+6.952570E-04
-1.4,+6.952520E-04
-1.4,+6.952510E-04
-1.4,+6.952460E-04
-1.4,+6.952570E-04
-1.4,+6.952580E-04
-1.3,+6.119980E-04
-1.3,+6.120060E-04
-1.3,+6.120080E-04
-1.3,+6.120110E-04
-1.3,+6.119950E-04
-1.3,+6.119900E-04
-1.3,+6.119920E-04
-1.3,+6.119890E-04
-1.3,+6.119880E-04
-1.3,+6.119960E-04
-1.2,+5.292680E-04
-1.2,+5.292680E-04
-1.2,+5.292790E-04
-1.2,+5.292750E-04
-1.2,+5.292750E-04
-1.2,+5.292680E-04
-1.2,+5.292710E-04
-1.2,+5.292640E-04
-1.2,+5.292610E-04
-1.2,+5.292750E-04
-1.1,+4.472220E-04
-1.1,+4.472140E-04
-1.1,+4.472140E-04
-1.1,+4.472120E-04
-1.1,+4.472240E-04
-1.1,+4.472030E-04
-1.1,+4.472220E-04
-1.1,+4.472190E-04
-1.1,+4.472190E-04
-1.1,+4.472110E-04
-1.0,+3.660780E-04
-1.0,+3.660700E-04
-1.0,+3.660720E-04
-1.0,+3.660780E-04
-1.0,+3.660780E-04
-1.0,+3.660680E-04
-1.0,+3.660760E-04
-1.0,+3.660710E-04
-1.0,+3.660780E-04
-1.0,+3.660790E-04
-0.8999999999999999,+2.862270E-04
-0.8999999999999999,+2.862390E-04
-0.8999999999999999,+2.862440E-04
-0.8999999999999999,+2.862300E-04
-0.8999999999999999,+2.862390E-04
-0.8999999999999999,+2.862480E-04
-0.8999999999999999,+2.862240E-04
-0.8999999999999999,+2.862210E-04
-0.8999999999999999,+2.862430E-04
-0.8999999999999999,+2.862300E-04
-0.7999999999999999,+2.084380E-04
-0.7999999999999999,+2.084560E-04
-0.7999999999999999,+2.084450E-04
-0.7999999999999999,+2.084370E-04
-0.7999999999999999,+2.084470E-04
-0.7999999999999999,+2.084300E-04
-0.7999999999999999,+2.084510E-04
-0.7999999999999999,+2.084270E-04
-0.7999999999999999,+2.084300E-04
-0.7999999999999999,+2.084400E-04
-0.7,+1.341600E-04
-0.7,+1.341580E-04
-0.7,+1.341660E-04
-0.7,+1.341620E-04
-0.7,+1.341680E-04
-0.7,+1.341560E-04
-0.7,+1.341580E-04
-0.7,+1.341630E-04
-0.7,+1.341680E-04
-0.7,+1.341580E-04
-0.6,+6.693640E-05
-0.6,+6.704370E-05
-0.6,+6.702930E-05
-0.6,+6.703360E-05
-0.6,+6.702770E-05
-0.6,+6.703930E-05
-0.6,+6.703450E-05
-0.6,+6.703060E-05
-0.6,+6.703520E-05
-0.6,+6.704570E-05
-0.5,+1.768140E-05
