#2024-07-20 11:58:18.348479, Temp:  27.9°C, Humi: 52.6 %
Sourced_voltage,Channel_Current
-1.5,+7.782970E-04
-1.5,+7.783090E-04
-1.5,+7.782940E-04
-1.5,+7.783090E-04
-1.5,+7.783000E-04
-1.5,+7.782960E-04
-1.5,+7.783140E-04
-1.5,+7.782950E-04
-1.5,+7.783160E-04
-1.5,+7.782970E-04
-1.4,+6.950250E-04
-1.4,+6.950050E-04
-1.4,+6.950220E-04
-1.4,+6.950190E-04
-1.4,+6.950080E-04
-1.4,+6.950260E-04
-1.4,+6.950310E-04
-1.4,+6.950210E-04
-1.4,+6.950140E-04
-1.4,+6.950330E-04
-1.3,+6.121420E-04
-1.3,+6.121330E-04
-1.3,+6.121550E-04
-1.3,+6.121470E-04
-1.3,+6.121440E-04
-1.3,+6.121350E-04
-1.3,+6.121520E-04
-1.3,+6.121550E-04
-1.3,+6.121510E-04
-1.3,+6.121340E-04
-1.2,+5.298310E-04
-1.2,+5.298430E-04
-1.2,+5.298390E-04
-1.2,+5.298390E-04
-1.2,+5.298210E-04
-1.2,+5.298320E-04
-1.2,+5.298330E-04
-1.2,+5.298300E-04
-1.2,+5.298410E-04
-1.2,+5.298200E-04
-1.1,+4.482490E-04
-1.1,+4.482530E-04
-1.1,+4.482530E-04
-1.1,+4.482500E-04
-1.1,+4.482510E-04
-1.1,+4.482630E-04
-1.1,+4.482510E-04
-1.1,+4.482480E-04
-1.1,+4.482440E-04
-1.1,+4.482550E-04
-1.0,+3.676630E-04
-1.0,+3.676490E-04
-1.0,+3.676580E-04
-1.0,+3.676520E-04
-1.0,+3.676440E-04
-1.0,+3.676630E-04
-1.0,+3.676610E-04
-1.0,+3.676490E-04
-1.0,+3.676570E-04
-1.0,+3.676560E-04
-0.8999999999999999,+2.884900E-04
-0.8999999999999999,+2.884730E-04
-0.8999999999999999,+2.884840E-04
-0.8999999999999999,+2.884810E-04
-0.8999999999999999,+2.884770E-04
-0.8999999999999999,+2.884840E-04
-0.8999999999999999,+2.884690E-04
-0.8999999999999999,+2.884730E-04
-0.8999999999999999,+2.884870E-04
-0.8999999999999999,+2.884740E-04
-0.7999999999999999,+2.115220E-04
-0.7999999999999999,+2.115060E-04
-0.7999999999999999,+2.115170E-04
-0.7999999999999999,+2.115130E-04
-0.7999999999999999,+2.115190E-04
-0.7999999999999999,+2.115090E-04
-0.7999999999999999,+2.115170E-04
-0.7999999999999999,+2.115150E-04
-0.7999999999999999,+2.115020E-04
-0.7999999999999999,+2.115160E-04
-0.7,+1.383400E-04
-0.7,+1.383420E-04
-0.7,+1.383510E-04
-0.7,+1.383440E-04
-0.7,+1.383450E-04
-0.7,+1.383460E-04
-0.7,+1.383490E-04
-0.7,+1.383390E-04
-0.7,+1.383320E-04
-0.7,+1.383420E-04
-0.6,+7.251200E-05
-0.6,+7.259560E-05
-0.6,+7.260000E-05
-0.6,+7.260210E-05
-0.6,+7.260460E-05
-0.6,+7.259720E-05
-0.6,+7.259440E-05
-0.6,+7.259990E-05
