#2024-07-18 19:06:17.550219, Temp:  28.8°C, Humi: 48.9 %
Sourced_voltage,Channel_Current
-1.5,+7.714100E-04
-1.5,+7.714140E-04
-1.5,+7.714030E-04
-1.5,+7.714070E-04
-1.5,+7.714230E-04
-1.5,+7.714280E-04
-1.5,+7.714350E-04
-1.5,+7.714350E-04
-1.5,+7.714360E-04
-1.5,+7.714470E-04
-1.4,+6.903340E-04
-1.4,+6.903220E-04
-1.4,+6.903180E-04
-1.4,+6.903250E-04
-1.4,+6.903290E-04
-1.4,+6.903290E-04
-1.4,+6.903340E-04
-1.4,+6.903240E-04
-1.4,+6.903280E-04
-1.4,+6.903290E-04
-1.3,+6.095220E-04
-1.3,+6.095250E-04
-1.3,+6.095250E-04
-1.3,+6.095390E-04
-1.3,+6.095280E-04
-1.3,+6.095300E-04
-1.3,+6.095230E-04
-1.3,+6.095270E-04
-1.3,+6.095300E-04
-1.3,+6.095340E-04
-1.2,+5.291640E-04
-1.2,+5.291660E-04
-1.2,+5.291630E-04
-1.2,+5.291680E-04
-1.2,+5.291540E-04
-1.2,+5.291590E-04
-1.2,+5.291660E-04
-1.2,+5.291620E-04
-1.2,+5.291670E-04
-1.2,+5.291670E-04
-1.1,+4.493680E-04
-1.1,+4.493630E-04
-1.1,+4.493640E-04
-1.1,+4.493680E-04
-1.1,+4.493730E-04
-1.1,+4.493650E-04
-1.1,+4.493520E-04
-1.1,+4.493650E-04
-1.1,+4.493480E-04
-1.1,+4.493780E-04
-1.0,+3.702870E-04
-1.0,+3.703000E-04
-1.0,+3.702950E-04
-1.0,+3.702970E-04
-1.0,+3.703090E-04
-1.0,+3.702890E-04
-1.0,+3.703100E-04
-1.0,+3.702870E-04
-1.0,+3.703000E-04
-1.0,+3.702920E-04
-0.8999999999999999,+2.923130E-04
-0.8999999999999999,+2.923130E-04
-0.8999999999999999,+2.923010E-04
-0.8999999999999999,+2.923160E-04
-0.8999999999999999,+2.923120E-04
-0.8999999999999999,+2.923200E-04
-0.8999999999999999,+2.922940E-04
-0.8999999999999999,+2.923040E-04
-0.8999999999999999,+2.923000E-04
-0.8999999999999999,+2.922970E-04
-0.7999999999999999,+2.159710E-04
-0.7999999999999999,+2.159720E-04
-0.7999999999999999,+2.159680E-04
-0.7999999999999999,+2.159650E-04
-0.7999999999999999,+2.159670E-04
-0.7999999999999999,+2.159660E-04
-0.7999999999999999,+2.159690E-04
-0.7999999999999999,+2.159730E-04
-0.7999999999999999,+2.159690E-04
-0.7999999999999999,+2.159700E-04
-0.7,+1.424710E-04
-0.7,+1.424790E-04
-0.7,+1.424740E-04
-0.7,+1.424740E-04
-0.7,+1.424650E-04
-0.7,+1.424780E-04
-0.7,+1.424710E-04
-0.7,+1.424700E-04
-0.7,+1.424700E-04
-0.7,+1.424650E-04
-0.6,+7.464730E-05
-0.6,+7.474340E-05
-0.6,+7.473800E-05
-0.6,+7.473750E-05
-0.6,+7.474150E-05
-0.6,+7.474510E-05
-0.6,+7.475120E-05
-0.6,+7.474480E-05
-0.6,+7.473900E-05
-0.6,+7.472580E-05
-0.5,+2.196970E-05
-0.5,+2.196850E-05
-0.5,+2.196920E-05
-0.5,+2.196500E-05
-0.5,+2.196890E-05
-0.5,+2.197170E-05
-0.5,+2.196780E-05
-0.5,+2.196680E-05
-0.5,+2.196960E-05
-0.5,+2.196870E-05
-0.3999999999999999,+2.168230E-06
-0.3999999999999999,+2.167590E-06
-0.3999999999999999,+2.168650E-06
-0.3999999999999999,+2.168120E-06
-0.3999999999999999,+2.167640E-06
-0.3999999999999999,+2.167030E-06
-0.3999999999999999,+2.167340E-06
-0.3999999999999999,+2.166700E-06
-0.3999999999999999,+2.167030E-06
-0.3999999999999999,+2.166410E-06
