#2024-07-16 13:03:51.100612, Temp:  27.4°C, Humi: 52.9 %
Sourced_voltage,Channel_Current
-1.5,+7.805580E-04
-1.5,+7.805620E-04
-1.5,+7.805520E-04
-1.5,+7.805650E-04
-1.5,+7.805550E-04
-1.5,+7.805600E-04
-1.5,+7.805490E-04
-1.5,+7.805650E-04
-1.5,+7.805540E-04
-1.5,+7.805650E-04
-1.4,+6.967620E-04
-1.4,+6.967550E-04
-1.4,+6.967550E-04
-1.4,+6.967710E-04
-1.4,+6.967680E-04
-1.4,+6.967550E-04
-1.4,+6.967550E-04
-1.4,+6.967570E-04
-1.4,+6.967720E-04
-1.4,+6.967710E-04
-1.3,+6.133630E-04
-1.3,+6.133420E-04
-1.3,+6.133560E-04
-1.3,+6.133530E-04
-1.3,+6.133540E-04
-1.3,+6.133470E-04
-1.3,+6.133460E-04
-1.3,+6.133490E-04
-1.3,+6.133590E-04
-1.3,+6.133500E-04
-1.2,+5.304940E-04
-1.2,+5.304750E-04
-1.2,+5.304820E-04
-1.2,+5.304740E-04
-1.2,+5.304860E-04
-1.2,+5.304850E-04
-1.2,+5.304730E-04
-1.2,+5.304640E-04
-1.2,+5.304930E-04
-1.2,+5.304780E-04
-1.1,+4.482860E-04
-1.1,+4.482890E-04
-1.1,+4.482890E-04
-1.1,+4.482920E-04
-1.1,+4.482960E-04
-1.1,+4.482660E-04
-1.1,+4.482900E-04
-1.1,+4.482730E-04
-1.1,+4.482770E-04
-1.1,+4.482900E-04
-1.0,+3.670180E-04
-1.0,+3.670300E-04
-1.0,+3.670200E-04
-1.0,+3.670270E-04
-1.0,+3.670100E-04
-1.0,+3.670190E-04
-1.0,+3.670230E-04
-1.0,+3.670150E-04
-1.0,+3.670190E-04
-1.0,+3.670190E-04
-0.8999999999999999,+2.870640E-04
-0.8999999999999999,+2.870780E-04
-0.8999999999999999,+2.870700E-04
-0.8999999999999999,+2.870900E-04
-0.8999999999999999,+2.870800E-04
-0.8999999999999999,+2.870830E-04
-0.8999999999999999,+2.870760E-04
-0.8999999999999999,+2.870740E-04
-0.8999999999999999,+2.870840E-04
-0.8999999999999999,+2.870710E-04
-0.7999999999999999,+2.092120E-04
-0.7999999999999999,+2.092160E-04
-0.7999999999999999,+2.092070E-04
-0.7999999999999999,+2.092090E-04
-0.7999999999999999,+2.092180E-04
-0.7999999999999999,+2.092180E-04
-0.7999999999999999,+2.092080E-04
-0.7999999999999999,+2.092150E-04
-0.7999999999999999,+2.092050E-04
-0.7999999999999999,+2.092090E-04
-0.7,+1.349360E-04
-0.7,+1.349460E-04
-0.7,+1.349360E-04
-0.7,+1.349420E-04
-0.7,+1.349390E-04
-0.7,+1.349440E-04
-0.7,+1.349360E-04
-0.7,+1.349380E-04
-0.7,+1.349460E-04
-0.7,+1.349360E-04
-0.6,+6.783100E-05
-0.6,+6.793020E-05
-0.6,+6.792060E-05
-0.6,+6.792160E-05
-0.6,+6.791510E-05
-0.6,+6.792720E-05
-0.6,+6.791350E-05
-0.6,+6.792990E-05
-0.6,+6.791710E-05
-0.6,+6.792890E-05
-0.5,+1.863860E-05
-0.5,+1.864500E-05
-0.5,+1.864390E-05
-0.5,+1.864640E-05
-0.5,+1.863880E-05
-0.5,+1.863840E-05
-0.5,+1.864380E-05
-0.5,+1.864340E-05
-0.5,+1.864930E-05
-0.5,+1.864040E-05
-0.3999999999999999,+1.757720E-06
-0.3999999999999999,+1.757110E-06
-0.3999999999999999,+1.757860E-06
-0.3999999999999999,+1.757840E-06
-0.3999999999999999,+1.757890E-06
-0.3999999999999999,+1.757960E-06
-0.3999999999999999,+1.757770E-06
-0.3999999999999999,+1.757970E-06
-0.3999999999999999,+1.757980E-06
-0.3999999999999999,+1.757530E-06
-0.2999999999999998,+1.216260E-07
-0.2999999999999998,+1.214200E-07
-0.2999999999999998,+1.215060E-07
-0.2999999999999998,+1.213940E-07
-0.2999999999999998,+1.215100E-07
-0.2999999999999998,+1.213990E-07
-0.2999999999999998,+1.214580E-07
-0.2999999999999998,+1.214010E-07
-0.2999999999999998,+1.214000E-07
-0.2999999999999998,+1.214720E-07
-0.19999999999999996,+9.521000E-09
-0.19999999999999996,+9.639000E-09
-0.19999999999999996,+9.513000E-09
-0.19999999999999996,+9.651000E-09
-0.19999999999999996,+9.499000E-09
-0.19999999999999996,+9.666000E-09
-0.19999999999999996,+9.491000E-09
-0.19999999999999996,+9.680000E-09
-0.19999999999999996,+9.479000E-09
-0.19999999999999996,+9.652000E-09
-0.09999999999999987,+6.830000E-10
-0.09999999999999987,+6.870000E-10
-0.09999999999999987,+7.360000E-10
-0.09999999999999987,+7.590000E-10
-0.09999999999999987,+6.930000E-10
-0.09999999999999987,+7.950000E-10
-0.09999999999999987,+6.810000E-10
-0.09999999999999987,+7.770000E-10
-0.09999999999999987,+6.570000E-10
-0.09999999999999987,+6.740000E-10
0.0,-4.100000E-11
0.0,+6.100000E-11
0.0,+2.000000E-11
0.0,-3.000000E-11
0.0,-2.000000E-11
0.0,-4.900000E-11
0.0,-1.600000E-11
0.0,-8.600000E-11
0.0,+2.900000E-11
0.0,-1.100000E-10
0.0,-9.000000E-11
0.0,+1.700000E-11
0.0,-4.000000E-11
0.0,+6.200000E-11
0.0,-1.000000E-12
0.0,-9.500000E-11
0.0,+6.300000E-11
0.0,-1.160000E-10
0.0,-4.800000E-11
0.0,-2.100000E-11
2.0,-6.390000E-10
2.0,-4.920000E-10
2.0,-5.450000E-10
2.0,-5.290000E-10
2.0,-4.960000E-10
2.0,-5.840000E-10
2.0,-4.590000E-10
2.0,-6.080000E-10
2.0,-5.050000E-10
2.0,-6.320000E-10
4.0,-8.730000E-10
4.0,-8.060000E-10
4.0,-8.950000E-10
4.0,-8.660000E-10
4.0,-8.630000E-10
4.0,-8.950000E-10
4.0,-7.910000E-10
4.0,-9.380000E-10
4.0,-7.780000E-10
4.0,-9.360000E-10
6.0,-1.224000E-09
6.0,-1.017000E-09
6.0,-1.193000E-09
6.0,-1.064000E-09
6.0,-1.180000E-09
6.0,-1.025000E-09
6.0,-1.180000E-09
6.0,-1.039000E-09
6.0,-1.185000E-09
6.0,-1.109000E-09
8.0,-1.347000E-09
8.0,-1.325000E-09
8.0,-1.444000E-09
8.0,-1.327000E-09
8.0,-1.469000E-09
8.0,-1.281000E-09
8.0,-1.450000E-09
8.0,-1.276000E-09
8.0,-1.470000E-09
8.0,-1.284000E-09
10.0,-1.538000E-09
10.0,-1.614000E-09
10.0,-1.735000E-09
10.0,-1.534000E-09
10.0,-1.688000E-09
10.0,-1.554000E-09
10.0,-1.616000E-09
10.0,-1.614000E-09
10.0,-1.601000E-09
10.0,-1.625000E-09
12.0,-1.933000E-09
12.0,-1.780000E-09
12.0,-1.942000E-09
12.0,-1.756000E-09
12.0,-1.947000E-09
12.0,-1.818000E-09
12.0,-1.942000E-09
12.0,-1.841000E-09
12.0,-1.897000E-09
12.0,-1.886000E-09
14.0,-2.094000E-09
14.0,-2.086000E-09
14.0,-2.182000E-09
14.0,-2.051000E-09
14.0,-2.232000E-09
14.0,-2.029000E-09
14.0,-2.177000E-09
14.0,-2.003000E-09
14.0,-2.109000E-09
14.0,-2.091000E-09
16.0,-2.398000E-09
16.0,-2.261000E-09
16.0,-2.321000E-09
16.0,-2.350000E-09
16.0,-2.273000E-09
16.0,-2.376000E-09
16.0,-2.405000E-09
16.0,-2.284000E-09
16.0,-2.384000E-09
16.0,-2.340000E-09
18.0,-2.649000E-09
