#2024-07-16 15:21:12.942682, Temp:  27.6°C, Humi: 48.6 %
Sourced_voltage,Channel_Current
-1.5,+7.631810E-04
-1.5,+7.631710E-04
-1.5,+7.631960E-04
-1.5,+7.631830E-04
-1.5,+7.631900E-04
-1.5,+7.631840E-04
-1.5,+7.631950E-04
-1.5,+7.631960E-04
-1.5,+7.631880E-04
-1.5,+7.631940E-04
-1.4,+6.823010E-04
-1.4,+6.822940E-04
-1.4,+6.822800E-04
-1.4,+6.822920E-04
-1.4,+6.822920E-04
-1.4,+6.823010E-04
-1.4,+6.822990E-04
-1.4,+6.823000E-04
-1.4,+6.822950E-04
-1.4,+6.823040E-04
-1.3,+6.017090E-04
-1.3,+6.017090E-04
-1.3,+6.017150E-04
-1.3,+6.017010E-04
-1.3,+6.017040E-04
-1.3,+6.017060E-04
-1.3,+6.016960E-04
-1.3,+6.016990E-04
-1.3,+6.017200E-04
-1.3,+6.017200E-04
-1.2,+5.215530E-04
-1.2,+5.215460E-04
-1.2,+5.215500E-04
-1.2,+5.215440E-04
-1.2,+5.215520E-04
-1.2,+5.215490E-04
-1.2,+5.215570E-04
-1.2,+5.215540E-04
-1.2,+5.215470E-04
-1.2,+5.215500E-04
-1.1,+4.419390E-04
-1.1,+4.419290E-04
-1.1,+4.419380E-04
-1.1,+4.419230E-04
-1.1,+4.419250E-04
-1.1,+4.419350E-04
-1.1,+4.419430E-04
-1.1,+4.419360E-04
-1.1,+4.419330E-04
-1.1,+4.419340E-04
-1.0,+3.630630E-04
-1.0,+3.630550E-04
-1.0,+3.630490E-04
-1.0,+3.630500E-04
-1.0,+3.630530E-04
-1.0,+3.630620E-04
-1.0,+3.630550E-04
-1.0,+3.630520E-04
-1.0,+3.630680E-04
-1.0,+3.630450E-04
-0.8999999999999999,+2.852480E-04
-0.8999999999999999,+2.852550E-04
-0.8999999999999999,+2.852450E-04
-0.8999999999999999,+2.852510E-04
-0.8999999999999999,+2.852380E-04
-0.8999999999999999,+2.852380E-04
-0.8999999999999999,+2.852580E-04
-0.8999999999999999,+2.852450E-04
-0.8999999999999999,+2.852570E-04
-0.8999999999999999,+2.852510E-04
-0.7999999999999999,+2.091060E-04
-0.7999999999999999,+2.091120E-04
-0.7999999999999999,+2.090970E-04
-0.7999999999999999,+2.091120E-04
-0.7999999999999999,+2.091090E-04
-0.7999999999999999,+2.091020E-04
-0.7999999999999999,+2.091050E-04
-0.7999999999999999,+2.091090E-04
-0.7999999999999999,+2.091050E-04
-0.7999999999999999,+2.091110E-04
-0.7,+1.358790E-04
-0.7,+1.358710E-04
-0.7,+1.358830E-04
-0.7,+1.358850E-04
-0.7,+1.358830E-04
-0.7,+1.358750E-04
-0.7,+1.358920E-04
-0.7,+1.358790E-04
-0.7,+1.358800E-04
-0.7,+1.358790E-04
-0.6,+6.862070E-05
-0.6,+6.871510E-05
-0.6,+6.871480E-05
-0.6,+6.871080E-05
-0.6,+6.871920E-05
-0.6,+6.871800E-05
-0.6,+6.871130E-05
-0.6,+6.871390E-05
-0.6,+6.871440E-05
-0.6,+6.872130E-05
-0.5,+1.795030E-05
-0.5,+1.794860E-05
-0.5,+1.794970E-05
-0.5,+1.795080E-05
-0.5,+1.794550E-05
-0.5,+1.795400E-05
-0.5,+1.794870E-05
-0.5,+1.795110E-05
-0.5,+1.795220E-05
-0.5,+1.794640E-05
-0.3999999999999999,+1.433850E-06
-0.3999999999999999,+1.432950E-06
-0.3999999999999999,+1.433400E-06
-0.3999999999999999,+1.433330E-06
-0.3999999999999999,+1.433010E-06
-0.3999999999999999,+1.432840E-06
-0.3999999999999999,+1.434130E-06
-0.3999999999999999,+1.433400E-06
-0.3999999999999999,+1.433270E-06
-0.3999999999999999,+1.433040E-06
-0.2999999999999998,+8.903900E-08
-0.2999999999999998,+8.875100E-08
-0.2999999999999998,+8.887100E-08
-0.2999999999999998,+8.866000E-08
-0.2999999999999998,+8.875900E-08
-0.2999999999999998,+8.872500E-08
-0.2999999999999998,+8.869800E-08
-0.2999999999999998,+8.882600E-08
-0.2999999999999998,+8.864200E-08
-0.2999999999999998,+8.888300E-08
-0.19999999999999996,+4.935000E-09
-0.19999999999999996,+4.856000E-09
-0.19999999999999996,+5.065000E-09
-0.19999999999999996,+4.830000E-09
-0.19999999999999996,+5.091000E-09
-0.19999999999999996,+4.880000E-09
-0.19999999999999996,+4.901000E-09
-0.19999999999999996,+4.966000E-09
-0.19999999999999996,+4.934000E-09
-0.19999999999999996,+5.038000E-09
-0.09999999999999987,+1.900000E-10
-0.09999999999999987,+3.680000E-10
-0.09999999999999987,+1.810000E-10
-0.09999999999999987,+4.380000E-10
-0.09999999999999987,+1.480000E-10
-0.09999999999999987,+4.180000E-10
-0.09999999999999987,+1.020000E-10
-0.09999999999999987,+4.410000E-10
-0.09999999999999987,+1.530000E-10
-0.09999999999999987,+3.940000E-10
0.0,-9.200000E-11
0.0,+1.740000E-10
0.0,-1.750000E-10
0.0,+1.540000E-10
0.0,-1.120000E-10
0.0,+1.440000E-10
0.0,-1.160000E-10
0.0,+1.680000E-10
0.0,-7.700000E-11
0.0,+1.270000E-10
0.0,+5.800000E-11
0.0,+7.500000E-11
0.0,-2.700000E-11
0.0,-3.000000E-12
0.0,+6.800000E-11
0.0,-8.400000E-11
0.0,+8.700000E-11
0.0,-4.200000E-11
0.0,-7.500000E-11
0.0,+2.150000E-10
2.0,-5.660000E-10
2.0,-5.640000E-10
2.0,-3.820000E-10
2.0,-6.230000E-10
2.0,-4.890000E-10
2.0,-5.100000E-10
2.0,-5.840000E-10
2.0,-4.040000E-10
2.0,-6.160000E-10
2.0,-3.130000E-10
4.0,-1.013000E-09
4.0,-1.246000E-09
4.0,-1.122000E-09
4.0,-1.206000E-09
4.0,-1.018000E-09
4.0,-1.098000E-09
4.0,-1.075000E-09
4.0,-1.009000E-09
4.0,-1.172000E-09
4.0,-9.630000E-10
6.0,-1.650000E-09
6.0,-1.890000E-09
6.0,-1.653000E-09
6.0,-1.833000E-09
6.0,-1.708000E-09
6.0,-1.847000E-09
6.0,-1.787000E-09
6.0,-1.720000E-09
6.0,-1.856000E-09
6.0,-1.615000E-09
8.0,-2.505000E-09
8.0,-2.535000E-09
8.0,-2.398000E-09
8.0,-2.588000E-09
8.0,-2.338000E-09
8.0,-2.527000E-09
8.0,-2.392000E-09
8.0,-2.453000E-09
8.0,-2.431000E-09
8.0,-2.328000E-09
10.0,-2.989000E-09
10.0,-3.178000E-09
10.0,-2.941000E-09
10.0,-3.235000E-09
10.0,-2.993000E-09
10.0,-3.169000E-09
10.0,-3.081000E-09
10.0,-3.112000E-09
10.0,-2.983000E-09
10.0,-3.146000E-09
12.0,-3.715000E-09
12.0,-3.439000E-09
12.0,-3.696000E-09
12.0,-3.426000E-09
12.0,-3.606000E-09
12.0,-3.515000E-09
12.0,-3.502000E-09
12.0,-3.616000E-09
12.0,-3.420000E-09
12.0,-3.636000E-09
14.0,-4.166000E-09
14.0,-3.932000E-09
14.0,-4.219000E-09
14.0,-3.945000E-09
14.0,-4.155000E-09
14.0,-4.055000E-09
14.0,-4.112000E-09
14.0,-4.121000E-09
14.0,-3.986000E-09
14.0,-4.203000E-09
16.0,-8.170000E-09
16.0,-7.756000E-09
16.0,-7.902000E-09
16.0,-7.408000E-09
16.0,-7.560000E-09
16.0,-7.297000E-09
16.0,-7.939000E-09
16.0,-7.871000E-09
16.0,-7.616000E-09
16.0,-7.681000E-09
18.0,-7.841000E-09
18.0,-7.598000E-09
18.0,-7.337000E-09
18.0,-7.580000E-09
18.0,-7.209000E-09
18.0,-7.342000E-09
18.0,-7.006000E-09
18.0,-7.003000E-09
18.0,-7.051000E-09
18.0,-6.969000E-09
20.0,-7.239000E-09
20.0,-7.401000E-09
20.0,-7.165000E-09
20.0,-7.356000E-09
20.0,-6.996000E-09
20.0,-7.300000E-09
20.0,-6.899000E-09
20.0,-7.189000E-09
20.0,-6.792000E-09
20.0,-6.927000E-09
22.0,-7.673000E-09
22.0,-7.515000E-09
22.0,-7.516000E-09
22.0,-7.533000E-09
22.0,-7.637000E-09
22.0,-7.340000E-09
22.0,-7.680000E-09
22.0,-7.331000E-09
22.0,-7.388000E-09
22.0,-7.425000E-09
24.0,-8.081000E-09
24.0,-8.018000E-09
24.0,-8.153000E-09
24.0,-7.910000E-09
24.0,-7.987000E-09
24.0,-7.652000E-09
24.0,-7.959000E-09
24.0,-7.790000E-09
24.0,-8.021000E-09
24.0,-7.840000E-09
26.0,-8.408000E-09
26.0,-8.629000E-09
26.0,-8.132000E-09
26.0,-8.100000E-09
26.0,-8.262000E-09
26.0,-7.871000E-09
26.0,-8.223000E-09
26.0,-7.894000E-09
26.0,-8.330000E-09
26.0,-7.932000E-09
28.0,-8.975000E-09
28.0,-8.664000E-09
28.0,-8.815000E-09
28.0,-8.733000E-09
28.0,-8.823000E-09
28.0,-8.499000E-09
28.0,-8.730000E-09
28.0,-8.476000E-09
28.0,-8.816000E-09
28.0,-8.563000E-09
30.0,-9.199000E-09
30.0,-9.113000E-09
30.0,-9.244000E-09
30.0,-9.067000E-09
30.0,-9.297000E-09
30.0,-9.149000E-09
30.0,-9.218000E-09
30.0,-8.934000E-09
30.0,-9.038000E-09
30.0,-8.876000E-09
32.0,-9.716000E-09
32.0,-9.612000E-09
32.0,-9.436000E-09
32.0,-9.405000E-09
32.0,-9.551000E-09
32.0,-9.287000E-09
32.0,-9.678000E-09
32.0,-9.126000E-09
32.0,-9.633000E-09
32.0,-9.297000E-09
34.0,-9.980000E-09
34.0,-1.006900E-08
34.0,-1.000800E-08
34.0,-9.936000E-09
34.0,-9.829000E-09
34.0,-1.003300E-08
34.0,-9.940000E-09
34.0,-9.791000E-09
34.0,-9.796000E-09
34.0,-9.982000E-09
36.0,-1.048400E-08
36.0,-1.043300E-08
36.0,-1.043800E-08
36.0,-1.057700E-08
36.0,-1.038600E-08
36.0,-1.033400E-08
36.0,-1.023300E-08
36.0,-1.044300E-08
36.0,-1.013800E-08
36.0,-1.024700E-08
36.0,-1.030000E-08
36.0,-9.920000E-09
36.0,-1.031900E-08
36.0,-1.009000E-08
36.0,-1.006600E-08
36.0,-9.980000E-09
36.0,-1.003400E-08
36.0,-9.945000E-09
36.0,-9.848000E-09
36.0,-1.025600E-08
36.2,-9.861000E-09
36.2,-1.022100E-08
36.2,-9.991000E-09
36.2,-9.847000E-09
36.2,-1.014300E-08
36.2,-9.880000E-09
36.2,-1.009300E-08
36.2,-9.937000E-09
36.2,-1.015000E-08
36.2,-1.005700E-08
36.4,-9.908000E-09
36.4,-1.008900E-08
36.4,-9.873000E-09
36.4,-1.030900E-08
36.4,-1.000400E-08
36.4,-1.024400E-08
36.4,-9.780000E-09
36.4,-1.017100E-08
36.4,-9.949000E-09
36.4,-1.020800E-08
36.6,-1.020900E-08
36.6,-1.009600E-08
36.6,-1.009400E-08
36.6,-1.002000E-08
36.6,-1.017300E-08
36.6,-9.974000E-09
36.6,-1.008400E-08
36.6,-1.004300E-08
36.6,-1.021600E-08
36.6,-9.941000E-09
36.8,-1.013100E-08
36.8,-9.820000E-09
36.8,-9.974000E-09
36.8,-1.004400E-08
36.8,-1.011100E-08
36.8,-1.013300E-08
36.8,-9.930000E-09
36.8,-1.033200E-08
36.8,-9.944000E-09
36.8,-1.030300E-08
37.0,-1.007000E-08
37.0,-1.039400E-08
37.0,-1.007500E-08
37.0,-1.020700E-08
37.0,-1.033600E-08
37.0,-1.017900E-08
37.0,-1.030100E-08
37.0,-1.007700E-08
37.0,-1.042500E-08
37.0,-1.009400E-08
37.2,-1.029500E-08
37.2,-1.010700E-08
37.2,-1.009300E-08
37.2,-1.017000E-08
37.2,-1.014500E-08
37.2,-1.026100E-08
37.2,-1.011800E-08
37.2,-1.027200E-08
37.2,-1.015800E-08
37.2,-1.021400E-08
37.4,-1.009600E-08
37.4,-1.048900E-08
37.4,-1.010300E-08
37.4,-1.043300E-08
37.4,-1.017600E-08
37.4,-1.017200E-08
37.4,-1.014800E-08
37.4,-1.041500E-08
37.4,-1.039300E-08
37.4,-1.016000E-08
37.6,-1.058500E-08
37.6,-1.034300E-08
37.6,-1.033700E-08
37.6,-1.020100E-08
37.6,-1.051700E-08
37.6,-1.012500E-08
37.6,-1.042500E-08
37.6,-1.007200E-08
37.6,-1.025500E-08
37.6,-1.009700E-08
37.8,-1.044200E-08
37.8,-1.026300E-08
37.8,-1.063300E-08
37.8,-1.010700E-08
37.8,-1.038600E-08
37.8,-1.029300E-08
37.8,-1.056000E-08
37.8,-1.038000E-08
37.8,-1.031100E-08
37.8,-1.036300E-08
38.0,-1.041700E-08
38.0,-1.042000E-08
38.0,-1.048600E-08
