#2024-07-18 13:41:59.856547, Temp:  28.1°C, Humi: 50.0 %
Sourced_voltage,Channel_Current
-1.5,+7.799650E-04
-1.5,+7.799710E-04
-1.5,+7.799630E-04
-1.5,+7.799720E-04
-1.5,+7.799660E-04
-1.5,+7.799590E-04
-1.5,+7.799630E-04
-1.5,+7.799800E-04
-1.5,+7.799740E-04
-1.5,+7.799740E-04
-1.4,+6.964160E-04
-1.4,+6.964080E-04
-1.4,+6.964350E-04
-1.4,+6.964190E-04
-1.4,+6.964310E-04
-1.4,+6.964130E-04
-1.4,+6.964260E-04
-1.4,+6.964310E-04
-1.4,+6.964130E-04
-1.4,+6.964180E-04
-1.3,+6.132840E-04
-1.3,+6.132690E-04
-1.3,+6.132830E-04
-1.3,+6.132770E-04
-1.3,+6.132740E-04
-1.3,+6.132710E-04
-1.3,+6.132820E-04
-1.3,+6.132670E-04
-1.3,+6.132820E-04
-1.3,+6.132540E-04
-1.2,+5.306630E-04
-1.2,+5.306590E-04
-1.2,+5.306530E-04
-1.2,+5.306530E-04
-1.2,+5.306630E-04
-1.2,+5.306430E-04
-1.2,+5.306660E-04
-1.2,+5.306360E-04
-1.2,+5.306560E-04
-1.2,+5.306630E-04
-1.1,+4.487310E-04
-1.1,+4.487320E-04
-1.1,+4.487240E-04
-1.1,+4.487450E-04
-1.1,+4.487350E-04
-1.1,+4.487300E-04
-1.1,+4.487240E-04
-1.1,+4.487290E-04
-1.1,+4.487140E-04
-1.1,+4.487340E-04
-1.0,+3.677370E-04
-1.0,+3.677320E-04
-1.0,+3.677290E-04
-1.0,+3.677250E-04
-1.0,+3.677340E-04
-1.0,+3.677380E-04
-1.0,+3.677290E-04
-1.0,+3.677300E-04
-1.0,+3.677360E-04
-1.0,+3.677200E-04
-0.8999999999999999,+2.880770E-04
-0.8999999999999999,+2.880880E-04
-0.8999999999999999,+2.880740E-04
-0.8999999999999999,+2.880860E-04
-0.8999999999999999,+2.880720E-04
-0.8999999999999999,+2.880820E-04
-0.8999999999999999,+2.880760E-04
-0.8999999999999999,+2.880760E-04
-0.8999999999999999,+2.880820E-04
-0.8999999999999999,+2.880810E-04
-0.7999999999999999,+2.105070E-04
-0.7999999999999999,+2.105080E-04
-0.7999999999999999,+2.104950E-04
-0.7999999999999999,+2.104970E-04
-0.7999999999999999,+2.104990E-04
-0.7999999999999999,+2.104980E-04
-0.7999999999999999,+2.105130E-04
-0.7999999999999999,+2.105100E-04
-0.7999999999999999,+2.105070E-04
-0.7999999999999999,+2.104980E-04
-0.7,+1.365080E-04
-0.7,+1.365190E-04
-0.7,+1.364970E-04
-0.7,+1.365160E-04
-0.7,+1.365110E-04
-0.7,+1.365040E-04
-0.7,+1.365070E-04
-0.7,+1.365120E-04
-0.7,+1.365110E-04
-0.7,+1.365080E-04
-0.6,+6.957780E-05
-0.6,+6.965320E-05
-0.6,+6.964920E-05
-0.6,+6.964790E-05
-0.6,+6.966080E-05
-0.6,+6.963720E-05
-0.6,+6.965690E-05
-0.6,+6.964440E-05
-0.6,+6.965980E-05
-0.6,+6.965150E-05
-0.5,+1.995870E-05
-0.5,+1.995880E-05
-0.5,+1.995850E-05
-0.5,+1.996310E-05
-0.5,+1.995460E-05
-0.5,+1.996910E-05
-0.5,+1.995760E-05
-0.5,+1.996550E-05
-0.5,+1.995850E-05
-0.5,+1.996530E-05
