#2024-07-16 15:29:47.170923, Temp:  27.6°C, Humi: 48.6 %
Sourced_voltage,Channel_Current
-1.5,+7.665160E-04
-1.5,+7.665010E-04
-1.5,+7.665110E-04
-1.5,+7.665100E-04
-1.5,+7.665170E-04
-1.5,+7.665120E-04
-1.5,+7.665190E-04
-1.5,+7.665070E-04
-1.5,+7.665300E-04
-1.5,+7.665280E-04
-1.4,+6.852890E-04
-1.4,+6.852920E-04
-1.4,+6.852950E-04
-1.4,+6.852920E-04
-1.4,+6.852840E-04
-1.4,+6.852980E-04
-1.4,+6.852940E-04
-1.4,+6.852850E-04
-1.4,+6.852860E-04
-1.4,+6.852910E-04
-1.3,+6.043690E-04
-1.3,+6.043710E-04
-1.3,+6.043830E-04
-1.3,+6.043840E-04
-1.3,+6.043700E-04
-1.3,+6.043780E-04
-1.3,+6.043810E-04
-1.3,+6.043740E-04
-1.3,+6.043840E-04
-1.3,+6.043690E-04
-1.2,+5.238930E-04
-1.2,+5.238940E-04
-1.2,+5.238870E-04
-1.2,+5.239060E-04
-1.2,+5.238970E-04
-1.2,+5.238910E-04
-1.2,+5.238940E-04
-1.2,+5.238880E-04
-1.2,+5.238810E-04
-1.2,+5.238970E-04
-1.1,+4.439690E-04
-1.1,+4.439440E-04
-1.1,+4.439600E-04
-1.1,+4.439550E-04
-1.1,+4.439670E-04
-1.1,+4.439440E-04
-1.1,+4.439630E-04
-1.1,+4.439630E-04
-1.1,+4.439570E-04
-1.1,+4.439630E-04
-1.0,+3.647650E-04
-1.0,+3.647700E-04
-1.0,+3.647810E-04
-1.0,+3.647700E-04
-1.0,+3.647620E-04
-1.0,+3.647670E-04
-1.0,+3.647600E-04
-1.0,+3.647570E-04
-1.0,+3.647680E-04
-1.0,+3.647720E-04
-0.8999999999999999,+2.866570E-04
-0.8999999999999999,+2.866560E-04
-0.8999999999999999,+2.866560E-04
-0.8999999999999999,+2.866590E-04
-0.8999999999999999,+2.866660E-04
-0.8999999999999999,+2.866560E-04
-0.8999999999999999,+2.866480E-04
-0.8999999999999999,+2.866440E-04
-0.8999999999999999,+2.866560E-04
-0.8999999999999999,+2.866540E-04
-0.7999999999999999,+2.102160E-04
-0.7999999999999999,+2.102140E-04
-0.7999999999999999,+2.102070E-04
-0.7999999999999999,+2.102210E-04
-0.7999999999999999,+2.102220E-04
-0.7999999999999999,+2.102210E-04
-0.7999999999999999,+2.102290E-04
-0.7999999999999999,+2.102280E-04
-0.7999999999999999,+2.102150E-04
-0.7999999999999999,+2.102180E-04
-0.7,+1.367150E-04
-0.7,+1.367000E-04
-0.7,+1.367000E-04
-0.7,+1.366910E-04
-0.7,+1.367130E-04
-0.7,+1.366950E-04
-0.7,+1.367100E-04
-0.7,+1.367120E-04
-0.7,+1.367030E-04
-0.7,+1.366970E-04
-0.6,+6.917710E-05
-0.6,+6.926640E-05
-0.6,+6.926790E-05
-0.6,+6.925460E-05
-0.6,+6.926230E-05
-0.6,+6.926110E-05
-0.6,+6.926030E-05
-0.6,+6.926980E-05
-0.6,+6.927430E-05
-0.6,+6.925920E-05
-0.5,+1.821570E-05
-0.5,+1.822160E-05
-0.5,+1.821510E-05
-0.5,+1.821740E-05
-0.5,+1.821800E-05
-0.5,+1.821570E-05
-0.5,+1.821640E-05
-0.5,+1.821950E-05
-0.5,+1.821260E-05
-0.5,+1.822220E-05
-0.3999999999999999,+1.472850E-06
-0.3999999999999999,+1.471830E-06
-0.3999999999999999,+1.472000E-06
-0.3999999999999999,+1.472620E-06
-0.3999999999999999,+1.471990E-06
-0.3999999999999999,+1.471770E-06
-0.3999999999999999,+1.472640E-06
-0.3999999999999999,+1.472400E-06
-0.3999999999999999,+1.471780E-06
-0.3999999999999999,+1.472500E-06
-0.2999999999999998,+9.203300E-08
-0.2999999999999998,+9.145400E-08
-0.2999999999999998,+9.161400E-08
-0.2999999999999998,+9.133300E-08
-0.2999999999999998,+9.156000E-08
-0.2999999999999998,+9.133400E-08
-0.2999999999999998,+9.152800E-08
-0.2999999999999998,+9.143100E-08
-0.2999999999999998,+9.134700E-08
-0.2999999999999998,+9.158500E-08
-0.19999999999999996,+5.015000E-09
-0.19999999999999996,+5.334000E-09
-0.19999999999999996,+5.043000E-09
-0.19999999999999996,+5.312000E-09
-0.19999999999999996,+5.044000E-09
-0.19999999999999996,+5.323000E-09
-0.19999999999999996,+5.093000E-09
-0.19999999999999996,+5.320000E-09
-0.19999999999999996,+5.135000E-09
-0.19999999999999996,+5.261000E-09
-0.09999999999999987,+4.280000E-10
-0.09999999999999987,+3.160000E-10
-0.09999999999999987,+4.040000E-10
-0.09999999999999987,+2.130000E-10
-0.09999999999999987,+4.970000E-10
-0.09999999999999987,+2.130000E-10
-0.09999999999999987,+5.320000E-10
-0.09999999999999987,+1.610000E-10
-0.09999999999999987,+4.340000E-10
-0.09999999999999987,+2.470000E-10
0.0,+8.600000E-11
0.0,+3.100000E-11
0.0,-3.100000E-11
0.0,+1.510000E-10
0.0,-4.200000E-11
0.0,+1.280000E-10
0.0,+2.200000E-11
0.0,+8.600000E-11
