#2024-07-20 11:50:44.597074, Temp:  27.2°C, Humi: 53.3 %
Sourced_voltage,Channel_Current
-1.5,+7.816740E-04
-1.5,+7.816870E-04
-1.5,+7.816730E-04
-1.5,+7.816850E-04
-1.5,+7.816850E-04
-1.5,+7.816760E-04
-1.5,+7.816830E-04
-1.5,+7.816650E-04
-1.5,+7.816740E-04
-1.5,+7.816860E-04
-1.4,+6.978720E-04
-1.4,+6.978740E-04
-1.4,+6.978790E-04
-1.4,+6.978730E-04
-1.4,+6.978690E-04
-1.4,+6.978800E-04
-1.4,+6.978860E-04
-1.4,+6.978710E-04
-1.4,+6.978660E-04
-1.4,+6.978760E-04
-1.3,+6.144720E-04
-1.3,+6.144700E-04
-1.3,+6.144820E-04
-1.3,+6.144680E-04
-1.3,+6.144650E-04
-1.3,+6.144690E-04
-1.3,+6.144770E-04
-1.3,+6.144820E-04
-1.3,+6.144710E-04
-1.3,+6.144930E-04
-1.2,+5.316110E-04
-1.2,+5.315980E-04
-1.2,+5.316020E-04
-1.2,+5.316070E-04
-1.2,+5.316080E-04
-1.2,+5.316140E-04
-1.2,+5.316180E-04
-1.2,+5.316100E-04
-1.2,+5.316060E-04
-1.2,+5.316020E-04
-1.1,+4.494480E-04
-1.1,+4.494460E-04
-1.1,+4.494540E-04
-1.1,+4.494510E-04
-1.1,+4.494440E-04
-1.1,+4.494450E-04
-1.1,+4.494610E-04
-1.1,+4.494610E-04
-1.1,+4.494350E-04
-1.1,+4.494390E-04
-1.0,+3.682340E-04
-1.0,+3.682310E-04
-1.0,+3.682260E-04
-1.0,+3.682180E-04
-1.0,+3.682200E-04
-1.0,+3.682300E-04
-1.0,+3.682210E-04
-1.0,+3.682190E-04
-1.0,+3.682250E-04
-1.0,+3.682190E-04
-0.8999999999999999,+2.883520E-04
-0.8999999999999999,+2.883620E-04
-0.8999999999999999,+2.883600E-04
-0.8999999999999999,+2.883530E-04
-0.8999999999999999,+2.883620E-04
-0.8999999999999999,+2.883690E-04
-0.8999999999999999,+2.883560E-04
-0.8999999999999999,+2.883490E-04
-0.8999999999999999,+2.883670E-04
-0.8999999999999999,+2.883610E-04
-0.7999999999999999,+2.106090E-04
-0.7999999999999999,+2.106060E-04
-0.7999999999999999,+2.105920E-04
-0.7999999999999999,+2.106030E-04
-0.7999999999999999,+2.106110E-04
-0.7999999999999999,+2.106080E-04
-0.7999999999999999,+2.106060E-04
-0.7999999999999999,+2.106020E-04
-0.7999999999999999,+2.106110E-04
-0.7999999999999999,+2.105980E-04
