#2024-07-15 16:22:54.804089, Temp:  26.2°C, Humi: 54.3 %
Sourced_voltage,Channel_Current
-1.5,+7.785390E-04
-1.5,+7.785400E-04
-1.5,+7.785400E-04
-1.5,+7.785370E-04
-1.5,+7.785390E-04
-1.5,+7.785530E-04
-1.5,+7.785280E-04
-1.5,+7.785480E-04
-1.5,+7.785550E-04
-1.5,+7.785320E-04
-1.4,+6.950360E-04
-1.4,+6.950650E-04
-1.4,+6.950390E-04
-1.4,+6.950460E-04
-1.4,+6.950300E-04
-1.4,+6.950500E-04
-1.4,+6.950430E-04
-1.4,+6.950310E-04
-1.4,+6.950280E-04
-1.4,+6.950350E-04
-1.3,+6.119690E-04
-1.3,+6.119670E-04
-1.3,+6.119630E-04
-1.3,+6.119570E-04
-1.3,+6.119610E-04
-1.3,+6.119680E-04
-1.3,+6.119540E-04
-1.3,+6.119720E-04
-1.3,+6.119530E-04
-1.3,+6.119510E-04
-1.2,+5.294260E-04
-1.2,+5.294400E-04
-1.2,+5.294330E-04
-1.2,+5.294350E-04
-1.2,+5.294400E-04
-1.2,+5.294290E-04
-1.2,+5.294320E-04
-1.2,+5.294380E-04
-1.2,+5.294250E-04
-1.2,+5.294360E-04
-1.1,+4.476150E-04
-1.1,+4.476210E-04
-1.1,+4.476160E-04
-1.1,+4.476200E-04
-1.1,+4.476280E-04
-1.1,+4.476150E-04
-1.1,+4.476130E-04
-1.1,+4.476140E-04
-1.1,+4.476070E-04
-1.1,+4.476110E-04
-1.0,+3.667430E-04
-1.0,+3.667510E-04
-1.0,+3.667370E-04
-1.0,+3.667540E-04
-1.0,+3.667460E-04
-1.0,+3.667520E-04
-1.0,+3.667430E-04
-1.0,+3.667550E-04
-1.0,+3.667390E-04
-1.0,+3.667410E-04
-0.8999999999999999,+2.872520E-04
-0.8999999999999999,+2.872370E-04
-0.8999999999999999,+2.872410E-04
-0.8999999999999999,+2.872450E-04
-0.8999999999999999,+2.872280E-04
-0.8999999999999999,+2.872530E-04
-0.8999999999999999,+2.872370E-04
-0.8999999999999999,+2.872430E-04
-0.8999999999999999,+2.872320E-04
-0.8999999999999999,+2.872420E-04
-0.7999999999999999,+2.098520E-04
-0.7999999999999999,+2.098570E-04
-0.7999999999999999,+2.098450E-04
-0.7999999999999999,+2.098670E-04
-0.7999999999999999,+2.098480E-04
-0.7999999999999999,+2.098580E-04
-0.7999999999999999,+2.098500E-04
-0.7999999999999999,+2.098540E-04
-0.7999999999999999,+2.098530E-04
-0.7999999999999999,+2.098540E-04
-0.7,+1.360680E-04
-0.7,+1.360830E-04
-0.7,+1.360820E-04
-0.7,+1.360850E-04
-0.7,+1.360790E-04
-0.7,+1.360850E-04
-0.7,+1.360820E-04
