#2024-07-17 15:34:39.755157, Temp:  27.8°C, Humi: 58.9 %
Sourced_voltage,Channel_Current
-1.5,+7.826530E-04
-1.5,+7.826470E-04
-1.5,+7.826550E-04
-1.5,+7.826630E-04
-1.5,+7.826430E-04
-1.5,+7.826600E-04
-1.5,+7.826460E-04
-1.5,+7.826520E-04
-1.5,+7.826480E-04
-1.5,+7.826550E-04
-1.4,+6.989180E-04
-1.4,+6.989060E-04
-1.4,+6.989110E-04
-1.4,+6.989030E-04
-1.4,+6.989210E-04
-1.4,+6.988930E-04
-1.4,+6.989070E-04
-1.4,+6.989080E-04
-1.4,+6.989010E-04
-1.4,+6.989110E-04
-1.3,+6.155630E-04
-1.3,+6.155610E-04
-1.3,+6.155660E-04
-1.3,+6.155690E-04
-1.3,+6.155700E-04
-1.3,+6.155500E-04
-1.3,+6.155820E-04
-1.3,+6.155480E-04
-1.3,+6.155740E-04
-1.3,+6.155530E-04
-1.2,+5.327410E-04
-1.2,+5.327440E-04
-1.2,+5.327620E-04
-1.2,+5.327420E-04
-1.2,+5.327520E-04
-1.2,+5.327450E-04
-1.2,+5.327560E-04
-1.2,+5.327430E-04
-1.2,+5.327500E-04
-1.2,+5.327560E-04
-1.1,+4.506320E-04
-1.1,+4.506240E-04
-1.1,+4.506290E-04
-1.1,+4.506370E-04
-1.1,+4.506260E-04
-1.1,+4.506270E-04
-1.1,+4.506240E-04
-1.1,+4.506370E-04
-1.1,+4.506280E-04
-1.1,+4.506320E-04
-1.0,+3.694300E-04
-1.0,+3.694420E-04
-1.0,+3.694350E-04
-1.0,+3.694430E-04
-1.0,+3.694420E-04
-1.0,+3.694410E-04
-1.0,+3.694560E-04
-1.0,+3.694360E-04
-1.0,+3.694640E-04
-1.0,+3.694360E-04
-0.8999999999999999,+2.895780E-04
-0.8999999999999999,+2.895770E-04
-0.8999999999999999,+2.895830E-04
-0.8999999999999999,+2.895690E-04
-0.8999999999999999,+2.895790E-04
-0.8999999999999999,+2.895810E-04
-0.8999999999999999,+2.895620E-04
-0.8999999999999999,+2.895760E-04
-0.8999999999999999,+2.895650E-04
-0.8999999999999999,+2.895700E-04
-0.7999999999999999,+2.117720E-04
-0.7999999999999999,+2.117770E-04
-0.7999999999999999,+2.117790E-04
-0.7999999999999999,+2.117750E-04
-0.7999999999999999,+2.117750E-04
-0.7999999999999999,+2.117710E-04
-0.7999999999999999,+2.117780E-04
-0.7999999999999999,+2.117770E-04
-0.7999999999999999,+2.117770E-04
-0.7999999999999999,+2.117810E-04
-0.7,+1.375330E-04
-0.7,+1.375130E-04
-0.7,+1.375340E-04
-0.7,+1.375180E-04
-0.7,+1.375160E-04
-0.7,+1.375280E-04
-0.7,+1.375210E-04
-0.7,+1.375360E-04
-0.7,+1.375120E-04
-0.7,+1.375280E-04
-0.6,+7.024470E-05
-0.6,+7.033740E-05
-0.6,+7.033370E-05
-0.6,+7.033430E-05
-0.6,+7.034040E-05
-0.6,+7.032710E-05
-0.6,+7.034490E-05
-0.6,+7.032270E-05
-0.6,+7.033660E-05
-0.6,+7.033740E-05
-0.5,+2.018130E-05
-0.5,+2.017450E-05
-0.5,+2.018070E-05
-0.5,+2.018450E-05
-0.5,+2.018120E-05
-0.5,+2.018300E-05
-0.5,+2.018290E-05
-0.5,+2.018710E-05
-0.5,+2.018030E-05
-0.5,+2.018650E-05
-0.3999999999999999,+2.040690E-06
-0.3999999999999999,+2.040020E-06
-0.3999999999999999,+2.040830E-06
-0.3999999999999999,+2.041240E-06
-0.3999999999999999,+2.040910E-06
-0.3999999999999999,+2.040880E-06
-0.3999999999999999,+2.040990E-06
-0.3999999999999999,+2.041400E-06
-0.3999999999999999,+2.041160E-06
-0.3999999999999999,+2.040830E-06
-0.2999999999999998,+1.474640E-07
-0.2999999999999998,+1.470660E-07
-0.2999999999999998,+1.474470E-07
-0.2999999999999998,+1.471510E-07
-0.2999999999999998,+1.473980E-07
-0.2999999999999998,+1.472760E-07
-0.2999999999999998,+1.473510E-07
-0.2999999999999998,+1.473960E-07
-0.2999999999999998,+1.472380E-07
-0.2999999999999998,+1.474110E-07
-0.19999999999999996,+1.161800E-08
-0.19999999999999996,+1.178100E-08
-0.19999999999999996,+1.159200E-08
-0.19999999999999996,+1.175800E-08
-0.19999999999999996,+1.161700E-08
-0.19999999999999996,+1.174500E-08
-0.19999999999999996,+1.169300E-08
-0.19999999999999996,+1.168100E-08
-0.19999999999999996,+1.165100E-08
-0.19999999999999996,+1.161500E-08
-0.09999999999999987,+8.220000E-10
-0.09999999999999987,+7.760000E-10
-0.09999999999999987,+8.810000E-10
-0.09999999999999987,+8.290000E-10
-0.09999999999999987,+8.520000E-10
-0.09999999999999987,+8.350000E-10
-0.09999999999999987,+8.270000E-10
-0.09999999999999987,+8.770000E-10
-0.09999999999999987,+7.670000E-10
-0.09999999999999987,+9.210000E-10
0.0,-1.060000E-10
0.0,+5.200000E-11
0.0,-8.300000E-11
0.0,+3.000000E-11
0.0,-6.800000E-11
0.0,-3.100000E-11
0.0,-5.200000E-11
0.0,-1.700000E-11
0.0,-9.700000E-11
0.0,+6.400000E-11
0.0,+3.500000E-11
0.0,-8.400000E-11
0.0,-3.000000E-11
