#2024-07-18 10:49:04.581911, Temp:  26.6°C, Humi: 53.0 %
Sourced_voltage,Channel_Current
-1.5,+7.764010E-04
-1.5,+7.763830E-04
-1.5,+7.763910E-04
-1.5,+7.763900E-04
-1.5,+7.763930E-04
-1.5,+7.764040E-04
-1.5,+7.764000E-04
-1.5,+7.763990E-04
-1.5,+7.763980E-04
-1.5,+7.764030E-04
-1.4,+6.931270E-04
-1.4,+6.931160E-04
-1.4,+6.931330E-04
-1.4,+6.931240E-04
-1.4,+6.931400E-04
-1.4,+6.931200E-04
-1.4,+6.931410E-04
-1.4,+6.931230E-04
-1.4,+6.931320E-04
-1.4,+6.931450E-04
-1.3,+6.102890E-04
-1.3,+6.102720E-04
-1.3,+6.102730E-04
-1.3,+6.102800E-04
-1.3,+6.102740E-04
-1.3,+6.102920E-04
-1.3,+6.102730E-04
-1.3,+6.102830E-04
-1.3,+6.102730E-04
-1.3,+6.102860E-04
-1.2,+5.280040E-04
-1.2,+5.280020E-04
-1.2,+5.280170E-04
-1.2,+5.279840E-04
-1.2,+5.279930E-04
-1.2,+5.280060E-04
-1.2,+5.280090E-04
-1.2,+5.279930E-04
-1.2,+5.280090E-04
-1.2,+5.280030E-04
-1.1,+4.464570E-04
-1.1,+4.464440E-04
-1.1,+4.464540E-04
-1.1,+4.464530E-04
-1.1,+4.464550E-04
-1.1,+4.464560E-04
-1.1,+4.464540E-04
-1.1,+4.464480E-04
-1.1,+4.464360E-04
-1.1,+4.464610E-04
-1.0,+3.658990E-04
-1.0,+3.659040E-04
-1.0,+3.659050E-04
-1.0,+3.659030E-04
-1.0,+3.659120E-04
-1.0,+3.658930E-04
-1.0,+3.658890E-04
-1.0,+3.659060E-04
-1.0,+3.658990E-04
-1.0,+3.658960E-04
-0.8999999999999999,+2.867760E-04
-0.8999999999999999,+2.867840E-04
-0.8999999999999999,+2.867800E-04
-0.8999999999999999,+2.867800E-04
-0.8999999999999999,+2.867790E-04
-0.8999999999999999,+2.867740E-04
-0.8999999999999999,+2.867840E-04
-0.8999999999999999,+2.867790E-04
-0.8999999999999999,+2.867710E-04
-0.8999999999999999,+2.867880E-04
-0.7999999999999999,+2.099050E-04
-0.7999999999999999,+2.099140E-04
-0.7999999999999999,+2.099010E-04
-0.7999999999999999,+2.099100E-04
-0.7999999999999999,+2.099050E-04
-0.7999999999999999,+2.099120E-04
-0.7999999999999999,+2.099040E-04
-0.7999999999999999,+2.099170E-04
-0.7999999999999999,+2.099040E-04
-0.7999999999999999,+2.099010E-04
-0.7,+1.368800E-04
-0.7,+1.368810E-04
-0.7,+1.368770E-04
-0.7,+1.368800E-04
-0.7,+1.368910E-04
-0.7,+1.368820E-04
-0.7,+1.368900E-04
-0.7,+1.368910E-04
-0.7,+1.368850E-04
-0.7,+1.368920E-04
-0.6,+7.134870E-05
-0.6,+7.143720E-05
-0.6,+7.142120E-05
-0.6,+7.143750E-05
-0.6,+7.142900E-05
-0.6,+7.143340E-05
-0.6,+7.142780E-05
-0.6,+7.143520E-05
-0.6,+7.142860E-05
-0.6,+7.142760E-05
-0.5,+2.299360E-05
-0.5,+2.299810E-05
-0.5,+2.300390E-05
-0.5,+2.299840E-05
-0.5,+2.300260E-05
-0.5,+2.299620E-05
-0.5,+2.300530E-05
-0.5,+2.300140E-05
-0.5,+2.299720E-05
-0.5,+2.299820E-05
-0.3999999999999999,+3.479080E-06
-0.3999999999999999,+3.477870E-06
-0.3999999999999999,+3.479630E-06
-0.3999999999999999,+3.477270E-06
-0.3999999999999999,+3.478720E-06
-0.3999999999999999,+3.478350E-06
-0.3999999999999999,+3.479110E-06
-0.3999999999999999,+3.478160E-06
-0.3999999999999999,+3.478140E-06
-0.3999999999999999,+3.479650E-06
-0.2999999999999998,+3.619440E-07
-0.2999999999999998,+3.612670E-07
-0.2999999999999998,+3.609500E-07
-0.2999999999999998,+3.612710E-07
-0.2999999999999998,+3.608600E-07
-0.2999999999999998,+3.612460E-07
-0.2999999999999998,+3.608640E-07
-0.2999999999999998,+3.611000E-07
-0.2999999999999998,+3.610230E-07
-0.2999999999999998,+3.609150E-07
-0.19999999999999996,+3.327500E-08
-0.19999999999999996,+3.342400E-08
-0.19999999999999996,+3.321400E-08
-0.19999999999999996,+3.341700E-08
-0.19999999999999996,+3.319900E-08
-0.19999999999999996,+3.332800E-08
-0.19999999999999996,+3.328600E-08
-0.19999999999999996,+3.338000E-08
-0.19999999999999996,+3.334200E-08
-0.19999999999999996,+3.333000E-08
-0.09999999999999987,+2.582000E-09
-0.09999999999999987,+2.430000E-09
-0.09999999999999987,+2.625000E-09
-0.09999999999999987,+2.428000E-09
-0.09999999999999987,+2.618000E-09
-0.09999999999999987,+2.393000E-09
-0.09999999999999987,+2.600000E-09
-0.09999999999999987,+2.432000E-09
-0.09999999999999987,+2.565000E-09
-0.09999999999999987,+2.406000E-09
0.0,+5.500000E-11
0.0,-1.330000E-10
0.0,+6.400000E-11
0.0,-1.100000E-10
0.0,+1.700000E-11
0.0,-5.700000E-11
0.0,+7.000000E-12
0.0,+1.700000E-11
0.0,-4.100000E-11
0.0,+6.900000E-11
0.0,+2.800000E-11
0.0,-4.500000E-11
0.0,+7.700000E-11
0.0,-1.280000E-10
0.0,+7.500000E-11
0.0,-1.360000E-10
0.0,+1.500000E-11
